,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bank denies loan/problem with loan,gets in accident/crashes car,car breaks down/needs repairs,gets scammed,other,car is a transformer or alive,"gets something other than new car (bike, motorcycle, uber)",gets money from old car or its parts (from dealer or other offer),wins lottery/gets  money (not from selling car),bank approved loan,gets car other way,"gets a good deal on the new car (less expensive, trade in goo value)",decides to keep old car,car worth more than expected,negative,positive,neither,Word Given in Scenario,Word Not Given,controllable,uncontrollable,neither
3322,0.655861773,5f5bc5bbe06d3536770d7e78,5e8646ec42953f0e9bd50696,APPROVED,45:20.0,59:31.6,851.641,56,59:11.3,40D80FA4,United Kingdom,Female,40,"Sep 11, 2020 2:45:23 pm","Sep 11, 2020 2:59:27 pm",Complete,,,,English,,1599849923_5f5bc5c3b902f9.86482216,negative,present,5e8646ec42953f0e9bd50696,lucy_loan.response,lucy_loan,response,Lucy keeps her old car.,,,,,,,,,,,,,1,,,,1,1,,1,,
3500,0.114803938,5f5b74da9496f42a3868b33f,5def73f02ae04260076d88f8,APPROVED,00:10.8,13:14.6,783.785,29,16:59.2,4DE9B385,United Kingdom,Male,56,"Sep 11, 2020 9:00:15 am","Sep 11, 2020 9:13:13 am",Complete,,,,English,,1599829215_5f5b74df965318.19216548,positive,present,5def73f02ae04260076d88f8,lucy_loan.response,lucy_loan,response,She crashes it on the way to the dealership ,,1,,,,,,,,,,,,,1,,,1,,1,,
3371,0.908563341,5f5cf02d2a36a4510728d381,5ef7a49312ad194daa2ecefe,APPROVED,58:40.8,09:03.4,622.6,30,10:28.2,3833C7F5,United Kingdom,Female,35,"Sep 12, 2020 11:58:42 am","Sep 12, 2020 12:09:02 pm",Complete,,,,English,,1599926322_5f5cf0320a6a39.98694024,negative,absent,5ef7a49312ad194daa2ecefe,lucy_loan.response,lucy_loan,response,she buys a new car and is not sad anymore,,,,,1,,,,,,,,,,,1,,1,,1,,
3309,0.297163813,5f5bc49c8bceaa35760701cf,5ea858d3147cf42814e07612,APPROVED,40:39.2,48:27.3,468.11,20,58:44.3,40D80FA4,United States,Male,26,"Sep 11, 2020 2:40:41 pm","Sep 11, 2020 2:48:25 pm",Complete,,,,English,,1599849641_5f5bc4a9607516.67899907,negative,present,5ea858d3147cf42814e07612,lucy_loan.response,lucy_loan,response,She decides not to sell it.,,,,,,,,,,,,,1,,,,1,1,,1,,
3343,0.337801172,5f5cedfd28e7914fe36fefec,5877066b1ed9d10001050b9a,APPROVED,49:19.9,02:58.2,818.335,52,09:30.3,3833C7F5,United Kingdom,Female,4,"Sep 12, 2020 11:49:21 am","Sep 12, 2020 12:02:56 pm",Complete,,,,English,,1599925761_5f5cee01a43194.68592909,negative,absent,5877066b1ed9d10001050b9a,lucy_loan.response,lucy_loan,response,She decides to restore her old car and not buy a new one,,,,,,,,,,,,,1,,,1,,1,,1,,
3431,0.528366334,5f5b8f7810ec482e85cc8067,5e97039d77e41b023228fa5a,APPROVED,54:51.2,06:58.4,727.223,43,15:26.8,510FA8B2,United Kingdom,Female,63,"Sep 11, 2020 1:41:43 pm","Sep 11, 2020 2:04:09 pm",Complete,,,,English,,1599846103_5f5bb6d7042460.00072875,positive,absent,5e97039d77e41b023228fa5a,lucy_loan.response,lucy_loan,response,Lucy changes her mind about getting a new car and gets a motorbike instead,,,,,,,1,,,,,,,,,,1,1,,1,,
3374,0.846328376,5f5cf05d30ec6f514093c7fc,5c9139d85c6c0200156977e6,APPROVED,59:29.1,06:08.6,399.515,28,10:34.7,3833C7F5,United Kingdom,Female,40,"Sep 12, 2020 11:59:30 am","Sep 12, 2020 12:06:06 pm",Complete,,,,English,,1599926370_5f5cf062a97043.73156947,negative,absent,5c9139d85c6c0200156977e6,lucy_loan.response,lucy_loan,response,She decides to keep the old car instead.,,,,,,,,,,,,,1,,,,1,1,,1,,
3464,0.833307327,5f5b65899aa6fd2962ea9b55,5836e4bda37e9b000108c2ac,APPROVED,56:00.9,03:56.1,475.156,50,15:34.2,4DE9B385,United Kingdom,Female,22,"Sep 11, 2020 7:56:02 am","Sep 11, 2020 8:03:51 am",Complete,,,,English,,1599825362_5f5b65d2d50668.52178241,positive,present,5836e4bda37e9b000108c2ac,lucy_loan.response,lucy_loan,response,The money for the old car pays for the new car,,,,,,,,,,,,1,,,,1,,1,,,1,
3486,0.491990676,5f5b66b58e2b6628fa8b6ae3,5f06f38a859dcb278b6e92f7,APPROVED,59:57.8,08:04.3,486.508,18,16:38.1,4DE9B385,United Kingdom,Male,38,"Sep 11, 2020 8:00:00 am","Sep 11, 2020 8:08:01 am",Complete,,,,English,,1599825600_5f5b66c0c4dac5.13410184,positive,present,5f06f38a859dcb278b6e92f7,lucy_loan.response,lucy_loan,response,"After sale, she gets a better offer.",,,,,1,,,,,,,,,,,1,,,1,,1,
3365,0.231628118,5f5cefe10fb28e50dcfbb6ca,5eb34cf21cabb113d4fc0f2d,APPROVED,57:24.9,04:00.1,395.268,19,10:15.5,3833C7F5,United Kingdom,Male,25,"Sep 12, 2020 11:57:27 am","Sep 12, 2020 12:03:58 pm",Complete,,,,English,,1599926247_5f5cefe71fac10.95642998,negative,absent,5eb34cf21cabb113d4fc0f2d,lucy_loan.response,lucy_loan,response,She manages to sell it for a high value.,,,,,,,,1,,,,,,,,1,,1,,1,,
3456,0.454232787,5f5b6524291dc628dbf71e61,5c27b1270091e40001ca1d1b,APPROVED,53:11.5,58:21.0,309.435,39,15:17.4,4DE9B385,United Kingdom,Female,9,"Sep 11, 2020 7:53:13 am","Sep 11, 2020 7:58:18 am",Complete,,,,English,,1599825193_5f5b65298b3c74.24890936,positive,present,5c27b1270091e40001ca1d1b,lucy_loan.response,lucy_loan,response,her new car breaks down,,,1,,,,,,,,,,,,1,,,1,,,1,
3419,0.805604577,5f5b8ec6e585c32e3cf7184c,5dfb4689ecb3ea86da0fd236,APPROVED,50:49.6,58:43.6,473.997,30,40:53.1,510FA8B2,Ireland,Female,28,"Sep 11, 2020 10:51:22 am","Sep 11, 2020 10:58:42 am",Complete,,,,English,,1599835882_5f5b8eead11640.55339929,positive,absent,5dfb4689ecb3ea86da0fd236,lucy_loan.response,lucy_loan,response,She wins the lotto,,,,,,,,,1,,,,,,,1,,,1,,1,
3286,0.148991396,5f5bc1dec090eb355b1dade1,5cd02c98ec9cad001834e76a,APPROVED,28:52.0,37:35.9,523.956,27,57:58.4,40D80FA4,United Kingdom,Female,3,"Sep 11, 2020 2:29:02 pm","Sep 11, 2020 2:37:33 pm",Complete,,,,English,,1599848942_5f5bc1ee5b0c73.27485616,negative,present,5cd02c98ec9cad001834e76a,lucy_loan.response,lucy_loan,response,Lucy is offered so much for her car that she doesn't need the bank loan,,,,,,,,,,,,,,1,,1,,1,,,1,
3406,0.542695045,5f5b8e19a009212e6239e96a,5dc0b5fc0016bb061eaec90c,APPROVED,48:30.1,18:51.8,1821.689,35,40:25.9,510FA8B2,United Kingdom,Female,14,"Sep 11, 2020 10:48:35 am","Sep 11, 2020 11:18:39 am",Complete,,,,English,,1599835715_5f5b8e43bd5423.35178617,positive,absent,5dc0b5fc0016bb061eaec90c,lucy_loan.response,lucy_loan,response,"She gets in touch with an online car company to give her a quote on selling her car.  She was their 1,000,000th customer and they dispose of her car and she wins a brand new top of the line car! She doesn't need the loan after all!",,,,,,,,,,,1,,,,,1,,1,,,1,
3443,0.544694613,5f5b8ff78ddeed2f1af956c3,5f04d5b3973f3714f5492709,APPROVED,56:11.3,09:17.3,786.014,20,41:38.4,510FA8B2,United Kingdom,Female,57,"Sep 11, 2020 10:56:13 am","Sep 11, 2020 11:09:15 am",Complete,,,,English,,1599836173_5f5b900d417d77.31870310,positive,absent,5f04d5b3973f3714f5492709,lucy_loan.response,lucy_loan,response,It is actually worth a lot ,,,,,,,,,,,,,,1,,1,,,1,,1,
3342,0.731118563,5f5ceddb3e753450378e3a2d,5efa0eb2fce41c0c97d19210,APPROVED,49:11.5,10:29.8,1278.311,32,09:28.3,3833C7F5,United Kingdom,Female,7,"Sep 12, 2020 11:50:00 am","Sep 12, 2020 12:10:21 pm",Complete,,,,English,,1599925800_5f5cee281ac800.89105150,negative,absent,5efa0eb2fce41c0c97d19210,lucy_loan.response,lucy_loan,response,A car parts collector happens to walk by and asks To check the serial number on some bits of her car. Turns out that several parts are worth a fortune and could make Lucy set for life. She decides she doesn't care and drives her crappy car home again. ,,,,,,,,,,,,,1,,,,1,1,,1,,
3447,0.587011405,5f5ba4dd2f9ff7315ae36298,5f43c9fbe038cc0b2deb75d8,APPROVED,28:02.9,40:33.6,750.654,47,22:34.3,510FA8B2,United Kingdom,Female,62,"Sep 11, 2020 12:28:05 pm","Sep 11, 2020 12:40:29 pm",Complete,,,,English,,1599841685_5f5ba5953ffce1.48480670,positive,absent,5f43c9fbe038cc0b2deb75d8,lucy_loan.response,lucy_loan,response,she gets a loan and bad news about the price she gets for her car,,,,,,,,,,1,,,,,,,1,1,,,1,
3376,0.453939422,5f5cf06ed56e315077da79a4,5ee6208d05de7603946ebf53,APPROVED,59:47.2,07:44.2,476.964,18,10:38.6,3833C7F5,United Kingdom,Male,39,"Sep 12, 2020 11:59:48 am","Sep 12, 2020 12:07:43 pm",Complete,,,,English,,1599926388_5f5cf0747acf18.31058727,negative,absent,5ee6208d05de7603946ebf53,lucy_loan.response,lucy_loan,response,someone offers to buy the car off her for a large amount,,,,,,,,,,,,,,1,,1,,1,,,1,
3415,0.587854838,5f5b8e9f7b31432dc487641a,59e7362fe75b450001a69349,APPROVED,50:12.3,04:18.4,846.159,83,40:44.0,510FA8B2,United Kingdom,Male,23,"Sep 11, 2020 10:50:14 am","Sep 11, 2020 11:04:16 am",Complete,,,,English,,1599835814_5f5b8ea6c60d70.77204593,positive,absent,59e7362fe75b450001a69349,lucy_loan.response,lucy_loan,response,she charmed the car dealer to get a discount,,,,,,,,,,,,1,,,,1,,1,,1,,
3463,0.070388947,5f5b656aef06252867fcb1ef,5e1dcb521a938a1356cc585e,APPROVED,54:18.0,11:21.0,1022.941,25,15:31.9,4DE9B385,United Kingdom,Male,14,"Sep 11, 2020 7:54:20 am","Sep 11, 2020 8:11:17 am",Complete,,,,English,,1599825260_5f5b656c46e6f2.02604599,positive,present,5e1dcb521a938a1356cc585e,lucy_loan.response,lucy_loan,response,"Another car enters the garage at breakneck speed, veering into the side of Lucy's car. The driver rolls down the window and apologises. Lucy, enraged, takes a tire iron and smashes in the man's windows. ",,1,,,,,,,,,,,,,1,,,1,,1,,
3294,0.200914451,5f5bc34f1181c5355385f4f1,5f243136d49d850136696693,APPROVED,35:28.2,53:40.9,1092.755,22,58:15.0,40D80FA4,United States,Male,10,"Sep 11, 2020 2:35:30 pm","Sep 11, 2020 2:53:35 pm",Complete,,,,English,,1599849330_5f5bc3727e99a8.34376137,negative,present,5f243136d49d850136696693,lucy_loan.response,lucy_loan,response,Her neighbor buys her old car.,,,,,,,,1,,,,,,,,1,,1,,,1,
3346,0.892078172,5f5cee8e47e6d8505762f70f,5e176ae1096a5e065c70a28b,APPROVED,51:44.5,58:52.1,427.587,21,09:36.4,3833C7F5,United Kingdom,Female,10,"Sep 12, 2020 11:51:52 am","Sep 12, 2020 11:58:49 am",Complete,,,,English,,1599925912_5f5cee988b2663.03293242,negative,absent,5e176ae1096a5e065c70a28b,lucy_loan.response,lucy_loan,response,she doesn't need to sell it anymore,,,,,,,,,,,,,1,,,1,,1,,,,1
3460,0.317079983,5f5b653e3341c22960163912,5c0c24711b80df00017827ea,APPROVED,54:06.8,03:20.5,553.792,32,15:25.7,4DE9B385,United Kingdom,Female,13,"Sep 11, 2020 7:54:10 am","Sep 11, 2020 8:03:14 am",Complete,,,,English,,1599825250_5f5b6562011e46.73435543,positive,present,5c0c24711b80df00017827ea,lucy_loan.response,lucy_loan,response,Batman buys the car as his new batmobile,,,,,,,,1,,,,,,,,1,,1,,,1,
3421,0.068680495,5f5b8ee371abb22edd2cc4ba,57b4d420869234000179f45a,APPROVED,51:18.3,58:19.5,421.22,60,40:57.2,510FA8B2,United Kingdom,Female,26,"Sep 11, 2020 10:51:20 am","Sep 11, 2020 10:58:14 am",Complete,,,,English,,1599835880_5f5b8ee8329992.37306235,positive,absent,57b4d420869234000179f45a,lucy_loan.response,lucy_loan,response,The bank rang to say her loan was accepted,,,,,,,,,,1,,,,,,1,,1,,,,1
3453,0.96325387,5f5b649546c58b295460b78e,5e65408fdf313c2bcfa6e24f,APPROVED,51:21.7,00:02.4,520.697,20,15:10.7,4DE9B385,United Kingdom,Female,6,"Sep 11, 2020 7:51:23 am","Sep 11, 2020 7:59:59 am",Complete,,,,English,,1599825083_5f5b64bb706b88.01178787,positive,present,5e65408fdf313c2bcfa6e24f,lucy_loan.response,lucy_loan,response,her car breaks down and looses some of its worth ,,,1,,,,,,,,,,,,1,,,1,,,1,
3336,0.061254313,5f5bd0baada163373988df15,5de0803843e90d0fcc462b13,APPROVED,32:15.9,42:58.3,642.352,27,59:39.3,40D80FA4,United Kingdom,Male,59,"Sep 11, 2020 3:32:17 pm","Sep 11, 2020 3:42:56 pm",Complete,,,,English,,1599852737_5f5bd0c19274f1.34385559,negative,present,5de0803843e90d0fcc462b13,lucy_loan.response,lucy_loan,response,She gets hit by a motorbike and dies.,,1,,,,,,,,,,,,,1,,,,1,,1,
3319,0.740416644,5f5bc55cc9d65f35671e256b,5f2ac77688f11d39a0aaf463,APPROVED,43:43.3,00:36.7,1013.353,25,59:05.3,40D80FA4,United Kingdom,Female,32,"Sep 11, 2020 2:43:45 pm","Sep 11, 2020 3:00:32 pm",Complete,,,,English,,1599849825_5f5bc5615936b0.06517201,negative,present,5f2ac77688f11d39a0aaf463,lucy_loan.response,lucy_loan,response,"The car dealer themselves offered to buy the car in exchange for their pet pony. Lucy wanted a pony her whole childhood, but now fears what owning a pony would entail. ",,,,,1,,,,,,,,,,,,1,1,,,,1
3487,0.654608053,5f5b66bab4ff950753d609ee,5e497cd2bc594a3f7d0706f9,APPROVED,59:54.0,05:28.2,334.184,30,16:39.9,4DE9B385,United Kingdom,Female,34,"Sep 11, 2020 7:59:57 am","Sep 11, 2020 8:05:24 am",Complete,,,,English,,1599825597_5f5b66bd05c409.45507810,positive,present,5e497cd2bc594a3f7d0706f9,lucy_loan.response,lucy_loan,response,Her car is worth more than she realised and she can get a better newer car,,,,,,,,,,,,,,1,,1,,1,,,,1
3339,0.263617416,5f5ced4dc911170ad8cfb109,5e69508d30914f20a575f06d,APPROVED,46:21.5,50:12.9,231.441,18,09:22.4,3833C7F5,Ireland,Male,3,"Sep 12, 2020 11:46:25 am","Sep 12, 2020 11:50:11 am",Complete,,,,English,,1599925585_5f5ced515dd123.97011380,negative,absent,5e69508d30914f20a575f06d,lucy_loan.response,lucy_loan,response,she bought it,,,,,,,,,,,1,,,,,,1,,1,1,,
3293,0.128735025,5f5bc33de742b5368eb1fec9,5f219d5c62e3b6591773267f,APPROVED,34:40.4,01:40.4,1619.974,29,58:12.9,40D80FA4,United Kingdom,Female,9,"Sep 11, 2020 2:34:41 pm","Sep 11, 2020 3:01:37 pm",Complete,,,,English,,1599849281_5f5bc341b55a39.80856004,negative,present,5f219d5c62e3b6591773267f,lucy_loan.response,lucy_loan,response,"Whilst looking around the dealership someone spots her car and approaches her and asks how much she's selling it on for. She replies she isn't. Her phone is ringing it and when she answers it, it's the bank calling back to say she's not eligible for a loan. She's now in a position where she's unable to buy a new car until she bites the bullet and lets her old car go - sentimental reasons and all. ",1,,,,,,,,,,,,,,1,,,1,,,,1
3454,0.198852049,5f5b64b9eeba9d07ab78edff,591801345020970001c19493,APPROVED,51:36.7,03:59.3,742.566,33,15:12.9,4DE9B385,United Kingdom,Female,8,"Sep 11, 2020 7:51:43 am","Sep 11, 2020 8:03:54 am",Complete,,,,English,,1599825103_5f5b64cf286086.84209189,positive,present,591801345020970001c19493,lucy_loan.response,lucy_loan,response,an acquaintance hears that she is selling it and offers even more than the car dealer.,,,,,,,,1,,,,,,,,1,,1,,,1,
3450,0.130494238,5f5b63c6be186728fbb548fb,5bf2f4028e5b8b00018d9b88,APPROVED,47:20.3,53:20.2,359.957,30,15:04.9,4DE9B385,United Kingdom,Male,3,"Sep 11, 2020 7:47:21 am","Sep 11, 2020 7:53:18 am",Complete,,,,English,,1599824841_5f5b63c9ae06b4.19607742,positive,present,5bf2f4028e5b8b00018d9b88,lucy_loan.response,lucy_loan,response,a reasonable deal occured ,,,,,,,,1,,,,,,,,1,,1,,,,1
3338,0.2763875,5f5cecca5a310850888708dc,5e7b6d4e6817bd16806d78ae,APPROVED,44:39.5,05:13.2,1233.723,36,09:20.5,3833C7F5,United Kingdom,Male,2,"Sep 12, 2020 11:44:42 am","Sep 12, 2020 12:05:11 pm",Complete,,,,English,,1599925481_5f5cece9e032c0.36546345,negative,absent,5e7b6d4e6817bd16806d78ae,lucy_loan.response,lucy_loan,response,"Lucy changes her mind and decides to keep the car, putting it into the garage for the work needed to keep it roadworthy. 'Wreck' is subjective, she thinks. Some things are worth keeping!",,,,,,,,,,,,,1,,,1,,1,,1,,
3442,0.840256318,5f5b8ff40b08972eeffed67c,5e540b9b25baaf40438073bb,APPROVED,55:59.1,40:56.3,2697.241,58,41:36.4,510FA8B2,United Kingdom,Female,55,"Sep 11, 2020 10:56:04 am","Sep 11, 2020 11:40:54 am",Complete,,,,English,,1599836163_5f5b9003d82e50.38804062,positive,absent,5e540b9b25baaf40438073bb,lucy_loan.response,lucy_loan,response,"While she is talking to the car dealer a stranger, who was walking past, stops and comments that the car Lucy is selling is just like the one he remembers his late father driving when he was young. He is so nostalgic about the car that he offers to buy it for more than her new car will cost.",,,,,,,,1,,,,,,,,1,,1,,,1,
3401,0.334998782,5f5b8de0a340222dc59007d4,5ef21a978041c001e2b10a9b,APPROVED,46:58.9,56:25.5,566.61,25,40:16.3,510FA8B2,United Kingdom,Female,13,"Sep 11, 2020 10:47:00 am","Sep 11, 2020 10:56:23 am",Complete,,,,English,,1599835620_5f5b8de432b7c9.10347755,positive,absent,5ef21a978041c001e2b10a9b,lucy_loan.response,lucy_loan,response,Lucy wins the lottery.,,,,,,,,,1,,,,,,,1,,,1,,1,
3363,0.895388449,5f5cefc8d9952550fe8af1aa,5ce1aee8a80ce000014ae0f5,APPROVED,57:02.0,05:54.1,532.094,49,10:10.9,3833C7F5,United Kingdom,Female,26,"Sep 12, 2020 11:57:04 am","Sep 12, 2020 12:05:51 pm",Complete,,,,English,,1599926224_5f5cefd08aa160.68892400,negative,absent,5ce1aee8a80ce000014ae0f5,lucy_loan.response,lucy_loan,response,she finds a £50 note down the back of the seat,,,,,,,,,1,,,,,,,1,,,1,,,1
3298,0.214671573,5f5bc38846d1423622c5a7d7,57bdd76370808a00012d9829,APPROVED,35:55.4,46:06.8,611.355,36,58:22.7,40D80FA4,United Kingdom,Male,11,"Sep 11, 2020 2:35:57 pm","Sep 11, 2020 2:46:03 pm",Complete,,,,English,,1599849357_5f5bc38d66f487.05210665,negative,present,57bdd76370808a00012d9829,lucy_loan.response,lucy_loan,response,she wins a new car instead and gets to keep her old car,,,,,,,,,,,1,,,,,1,,1,,,1,
3458,0.602927821,5f5b653ba5d80828565a289c,5d1bc78f79ca6c00011afbe5,APPROVED,53:40.6,09:28.8,948.209,44,15:21.3,4DE9B385,United Kingdom,Female,15,"Sep 11, 2020 7:53:43 am","Sep 11, 2020 8:09:24 am",Complete,,,,English,,1599825223_5f5b654702c120.73827320,positive,present,5d1bc78f79ca6c00011afbe5,lucy_loan.response,lucy_loan,response,Someone crashes into her old car and it is no longer worth as much,,1,,,,,,,,,,,,,1,,,1,,,1,
3381,0.479089798,5f5cf0bba5d808500c567e92,5f0e22f2f5e4e1139be7ae38,APPROVED,02:49.4,15:13.9,744.449,27,10:48.9,3833C7F5,United Kingdom,Male,53,"Sep 12, 2020 12:02:54 pm","Sep 12, 2020 12:15:11 pm",Complete,,,,English,,1599926574_5f5cf12eb310c4.09212717,negative,absent,5f0e22f2f5e4e1139be7ae38,lucy_loan.response,lucy_loan,response,The car dealer recheck the details of Lucys car and find it is worth more than they originally said ,,,,,,,,,,,,,,1,,1,,1,,,1,
3311,0.988494709,5f5bc4a3829f793598e4c44f,5d4b36bf137506001bb6b366,APPROVED,40:39.5,49:15.5,516.01,33,58:48.2,40D80FA4,United Kingdom,Female,25,"Sep 11, 2020 2:40:41 pm","Sep 11, 2020 2:49:13 pm",Complete,,,,English,,1599849641_5f5bc4a99597f7.37505522,negative,present,5d4b36bf137506001bb6b366,lucy_loan.response,lucy_loan,response,She crashes the new car,,1,,,,,,,,,,,,,1,,,1,,1,,
3446,0.116691569,5f5ba4b08e2b6631b9cb559e,5ce9b0e4be5a6b00163f6870,APPROVED,24:16.9,49:24.9,1507.978,54,20:03.9,510FA8B2,United Kingdom,Male,61,"Sep 11, 2020 12:24:26 pm","Sep 11, 2020 12:49:22 pm",Complete,,,,English,,1599841466_5f5ba4ba22e075.26711366,positive,absent,5ce9b0e4be5a6b00163f6870,lucy_loan.response,lucy_loan,response,The car dealer feels guilty and has a change of heart. He offers Lucy a good price for her car and afterwards he has an unusual warm feeling in his stomach. It is a few moments before he realizes the warm feeling is happiness. ,,,,,,,,1,,,,,,,,1,,1,,,1,
3475,0.39150877,5f5b6607291dc628dbf71e63,5c389923184bfd00010b4ce7,APPROVED,56:57.5,02:27.3,329.803,46,16:14.6,4DE9B385,United Kingdom,Male,26,"Sep 11, 2020 7:56:59 am","Sep 11, 2020 8:02:25 am",Complete,,,,English,,1599825419_5f5b660b16f971.07314375,positive,present,5c389923184bfd00010b4ce7,lucy_loan.response,lucy_loan,response,Someone offers her £80k for her old car,,,,,,,,,,,,,,1,,1,,1,,,1,
3290,0.016995998,5f5bc2d1c1774d3675585d32,58eec4b09fbdde00011e95b0,APPROVED,39:08.8,52:15.1,786.352,30,58:06.5,40D80FA4,United Kingdom,Male,38,"Sep 11, 2020 2:39:10 pm","Sep 11, 2020 2:52:10 pm",Complete,,,,English,,1599849550_5f5bc44e936b21.12647266,negative,present,58eec4b09fbdde00011e95b0,lucy_loan.response,lucy_loan,response,Someone crashes into her parked car rendering it worthless.,,1,,,,,,,,,,,,,1,,,1,,,1,
3448,0.59146167,5f5d34532f9ff756b6fe3124,5e57b60b2019d515eeadf114,APPROVED,49:23.4,57:03.6,460.186,27,11:38.9,40D80FA4,Ireland,Female,63,"Sep 12, 2020 4:49:26 pm","Sep 12, 2020 4:57:00 pm",Complete,,,,English,,1599943766_5f5d34566da713.40304541,negative,present,5e57b60b2019d515eeadf114,lucy_loan.response,lucy_loan,response,She wins the lottery and can buy a new car and keep the old one,,,,,,,,,1,,,,,,,1,,1,,,1,
3470,0.371090838,5f5b65c80b0a3e07df98a55c,5cd5fe480f0de600018e7251,APPROVED,55:54.1,04:13.2,499.136,27,16:03.6,4DE9B385,United Kingdom,Female,21,"Sep 11, 2020 7:55:56 am","Sep 11, 2020 8:04:11 am",Complete,,,,English,,1599825356_5f5b65cc01b3b0.88522059,positive,present,5cd5fe480f0de600018e7251,lucy_loan.response,lucy_loan,response,She doesn't get the loan for a new car.,1,,,,,,,,,,,,,,1,,,1,,,,1
3429,0.758257817,5f5b8f2aec0fc20ce4629201,5d5d13312a28f400015a5b6f,APPROVED,52:31.3,10:29.3,1078.017,30,41:13.0,510FA8B2,United Kingdom,Female,35,"Sep 11, 2020 10:52:39 am","Sep 11, 2020 11:10:24 am",Complete,,,,English,,1599835959_5f5b8f3782b726.33488655,positive,absent,5d5d13312a28f400015a5b6f,lucy_loan.response,lucy_loan,response,Lucy got a very good price for her car.,,,,,,,,1,,,,,,,,1,,1,,,1,
3356,0.007095606,5f5cef73f0fc870a83507ed1,5de6b966dbc356646feb275b,APPROVED,01:22.1,13:37.0,734.921,29,09:57.0,3833C7F5,United Kingdom,Female,49,"Sep 12, 2020 12:01:26 pm","Sep 12, 2020 12:13:31 pm",Complete,,,,English,,1599926486_5f5cf0d6cac652.06117097,negative,absent,5de6b966dbc356646feb275b,lucy_loan.response,lucy_loan,response,someone comes along and offers to buy her car,,,,,,,,1,,,,,,,,1,,1,,,1,
3468,0.984694255,5f5b65b3e150072909380224,5ee13b0693ab7b146b37bc5b,APPROVED,55:34.2,33:24.4,2270.223,36,15:42.9,4DE9B385,United Kingdom,Female,54,"Sep 11, 2020 7:55:35 am","Sep 11, 2020 8:33:22 am",Complete,,,,English,,1599825335_5f5b65b7ce98c5.37709093,positive,present,5ee13b0693ab7b146b37bc5b,lucy_loan.response,lucy_loan,response,Her car breaks down,,,1,,,,,,,,,,,,1,,,1,,,1,
3326,0.784609999,5f5bc5ccec0fc214cd296194,5c23615d70d93a0001202ea2,APPROVED,45:41.7,27:23.1,2501.369,28,59:19.1,40D80FA4,United Kingdom,Male,43,"Sep 11, 2020 2:45:50 pm","Sep 11, 2020 3:27:20 pm",Complete,,,,English,,1599849950_5f5bc5dea7b758.96344426,negative,present,5c23615d70d93a0001202ea2,lucy_loan.response,lucy_loan,response,she keeps the car but still buys the new one ,,,,,,,,,,,,,1,,,,1,1,,1,,
3325,0.898281635,5f5bc5c58578073672a1a7a8,5d6e5990e77e580001531bc9,APPROVED,45:25.9,56:57.2,691.341,42,59:17.2,40D80FA4,United Kingdom,Female,41,"Sep 11, 2020 2:45:28 pm","Sep 11, 2020 2:56:55 pm",Complete,,,,English,,1599849928_5f5bc5c8cfaad2.01093545,negative,present,5d6e5990e77e580001531bc9,lucy_loan.response,lucy_loan,response,"She decides to trade it for a tesla, because why the hell not",,,,,,,,,,,1,,,,,1,,,1,1,,
3366,0.685160091,5f5ceffa9adc850b2a4c8ad2,5f2129c9a6dae44937cfcb99,APPROVED,57:46.1,05:32.9,466.766,30,10:17.2,3833C7F5,United Kingdom,Female,28,"Sep 12, 2020 11:57:49 am","Sep 12, 2020 12:05:30 pm",Complete,,,,English,,1599926269_5f5ceffd292683.91572253,negative,absent,5f2129c9a6dae44937cfcb99,lucy_loan.response,lucy_loan,response,A passing  man stops to look at her car and makes her an enormous offer on it as he has realised that it is the car his dad drove when he was a young boy. She realises the sentiment to the other person and so sells it,,,,,,,,,,,,,,1,,1,,1,,,1,
3349,0.76688863,5f5ceedfda1b6250b6346110,5788d88416a091000112be18,APPROVED,53:45.7,16:03.6,1337.892,54,09:42.4,3833C7F5,United Kingdom,Female,17,"Sep 12, 2020 11:53:48 am","Sep 12, 2020 12:16:01 pm",Complete,,,,English,,1599926028_5f5cef0c713891.98085298,negative,absent,5788d88416a091000112be18,lucy_loan.response,lucy_loan,response,She buys a new car anyway. The car dealer gives her next to nothing for her old car and sells it for a fortune as it was previously owned by a famous celebrity.,,,,1,,,,,,,,,,,,,1,1,,1,,
3313,0.05656202,5f5bc4e59b6b83360c48a5cb,5f1968d176ea4f02a1729bdc,APPROVED,41:48.0,51:10.5,562.504,26,58:53.5,40D80FA4,United Kingdom,Female,29,"Sep 11, 2020 2:41:50 pm","Sep 11, 2020 2:51:08 pm",Complete,,,,English,,1599849710_5f5bc4ee7447f5.64887714,negative,present,5f1968d176ea4f02a1729bdc,lucy_loan.response,lucy_loan,response,"Her old, valuabel car is stolen as used as a getaway vehicle.",,,,,1,,,,,,,,,,1,,,1,,,1,
3331,0.809840077,5f5bc5f92be30c35fe4f07e1,5d88dec3439d210016835821,APPROVED,46:24.0,54:38.5,494.505,19,59:29.6,40D80FA4,United Kingdom,Male,52,"Sep 11, 2020 2:46:25 pm","Sep 11, 2020 2:54:35 pm",Complete,,,,English,,1599849985_5f5bc6019efdc8.22763330,negative,present,5d88dec3439d210016835821,lucy_loan.response,lucy_loan,response,A newer model of her previous car happens to be in the dealership,,,,,1,,,,,,,,,,,,1,1,,,1,
